dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
OpenAI-2M,implicit-scaffold,2,pivot-binary,float32,2321096,1536,256,8,4,4096,12,1234,400.809464,3257.551418,0,0,0,0,nan,0.107808,0.265030,30.810547
OpenAI-2M,implicit-scaffold,2,pivot-binary,float32,2321096,1536,256,16,4,4096,12,1234,405.602620,6475.736537,0,0,0,0,nan,0.176331,0.433480,59.465820
OpenAI-2M,implicit-scaffold,2,pivot-binary,float32,2321096,1536,256,32,4,4096,12,1234,402.273395,12894.436448,0,0,0,0,nan,0.258077,0.634440,111.897949
OpenAI-2M,implicit-scaffold,2,pivot-ternary,float32,2321096,1536,256,1,4,4096,12,1234,641.960924,641.960924,0,0,0,0,nan,0.018778,0.046164,3.998535
OpenAI-2M,implicit-scaffold,2,pivot-ternary,float32,2321096,1536,256,2,4,4096,12,1234,639.020222,1280.981146,0,0,0,0,nan,0.035828,0.088076,7.945801
OpenAI-2M,implicit-scaffold,2,pivot-ternary,float32,2321096,1536,256,4,4,4096,12,1234,637.056807,2568.649422,0,0,0,0,nan,0.066549,0.163599,15.696777
OpenAI-2M,implicit-scaffold,2,pivot-ternary,float32,2321096,1536,256,8,4,4096,12,1234,639.393504,5148.796928,0,0,0,0,nan,0.117961,0.289987,30.631592
OpenAI-2M,implicit-scaffold,2,pivot-ternary,float32,2321096,1536,256,16,4,4096,12,1234,656.384152,10321.283474,0,0,0,0,nan,0.192220,0.472542,58.760254
OpenAI-2M,implicit-scaffold,2,pivot-ternary,float32,2321096,1536,256,32,4,4096,12,1234,653.474571,20657.695784,0,0,0,0,nan,0.274597,0.675053,109.988770
OpenAI-2M,implicit-scaffold,8,pivot-binary,float32,2321096,1536,256,1,4,4096,12,1234,401.456869,401.456869,0,0,0,0,nan,0.030721,0.040822,4.000000
