source,dataset,parts,implementation,scaffold_repeats,scaffold_neighbors_per_leaf,scaffold_first_repeat_neighbors_per_leaf,scaffold_seed,preopt_graph_degree_cap,configuration,merge_seconds,recall,unique_scaffold_degree_mean,preopt_candidate_rank_mean,preopt_best_candidate_rank_mean,preopt_top4_candidate_rank_mean,preopt_count_rank_le_16,preopt_count_rank_le_32,preopt_count_rank_le_64,preopt_fraction_rank_le_16,preopt_fraction_rank_le_32,preopt_fraction_rank_le_64,quality_sample_rows,missing_candidates,dtype,graph_degree,intermediate_graph_degree,itopk,merge_api_e2e_ms_instrumented,merge_api_ms_excluding_quality_measurement,oracle_partition_build_ms_excluded,preopt_fraction_rank_le_output_degree,qps,quality_measurement_ms,queries,rows,search_ms
seed,OpenAI-2M,128,k4-scaffold-seed13,2,4,4,13,0,k4-r2,1.733685342,0.796354,7.937469,13.243546,2.598663,5.982395,5.965190515287,7.084333956942,7.811556929253,0.751523,0.892518,0.984137,65536,0,float32,64,128,160,1734.395626,1733.685342,191571.057074,0.984137,31778.731253,0.710284,20000,2321096,629.351746
seed,OpenAI-2M,128,k4-scaffold-seed14,2,4,4,14,0,k4-r2,1.721684025,0.793138,7.942551,13.598611,2.659515,6.129646,5.892864518736,7.035718182126,7.807773852081,0.741936,0.885826,0.983031,65536,0,float32,64,128,160,1722.47771,1721.684025,191571.057074,0.983031,31810.6982,0.793685,20000,2321096,628.719303
seed,OpenAI-2M,128,k4-scaffold-seed15,2,4,4,15,0,k4-r2,1.726161214,0.796775,7.933685,13.074637,2.612198,5.95079,5.993668940635,7.100568738149999,7.813275462755,0.755471,0.89499,0.984823,65536,0,float32,64,128,160,1726.874138,1726.161214,191571.057074,0.984823,31782.106657,0.712924,20000,2321096,629.284906
seed,OpenAI-2M,128,k4-scaffold-seed16,2,4,4,16,0,k4-r2,1.738294971,0.798842,7.931458,13.032149,2.570892,5.889999,6.005969667172,7.102477872756,7.812700279366,0.757234,0.895482,0.985027,65536,0,float32,64,128,160,1739.028615,1738.294971,191571.057074,0.985027,31848.169432,0.733644,20000,2321096,627.979578
seed,OpenAI-2M,128,k4-scaffold-seed17,2,4,4,17,0,k4-r2,1.718435326,0.791583,7.936951,13.394878,2.642624,6.063919,5.9316247711929995,7.060314762049999,7.811277317866,0.747343,0.88955,0.984166,65536,0,float32,64,128,160,1719.20129,1718.435326,191571.057074,0.984166,31786.782098,0.765964,20000,2321096,629.192346
seed,OpenAI-2M,128,k4-scaffold-seed18,2,4,4,18,0,k4-r2,1.722020228,0.796113,7.93367,13.055862,2.548813,5.89624,5.99766411192,7.106767376910001,7.81469668468,0.755976,0.895773,0.985004,65536,0,float32,64,128,160,1722.745752,1722.020228,191571.057074,0.985004,31816.442999,0.725524,20000,2321096,628.605781
seed,OpenAI-2M,128,k4-scaffold-seed19,2,4,4,19,0,k4-r2,1.72540013,0.798217,7.931808,12.978392,2.56749,5.882401,6.011549010432001,7.11320575536,7.815654603648,0.757904,0.896795,0.985356,65536,0,float32,64,128,160,1726.139654,1725.40013,191571.057074,0.985356,31797.144192,0.739524,20000,2321096,628.987304
seed,OpenAI-2M,128,k4-scaffold-seed20,2,4,4,20,0,k4-r2,1.727347101,0.795288,7.934341,13.028989,2.565277,5.895695,6.007581500242,7.107257359819,7.817380879319,0.757162,0.895759,0.985259,65536,0,float32,64,128,160,1728.082786,1727.347101,191571.057074,0.985259,31829.778419,0.735685,20000,2321096,628.34242
seed,OpenAI-2M,128,k4-scaffold-seed21,2,4,4,21,0,k4-r2,1.724341082,0.795338,7.934814,13.122594,2.577347,5.932198,5.9819610568320005,7.096802423832,7.8189577807860005,0.753888,0.894388,0.985399,65536,0,float32,64,128,160,1725.098327,1724.341082,191571.057074,0.985399,31752.281956,0.757245,20000,2321096,629.875989
seed,OpenAI-2M,128,k4-scaffold-seed22,2,4,4,22,0,k4-r2,1.721174262,0.794117,7.937836,13.425271,2.629257,6.052105,5.929507927148,7.06026854102,7.805925041351999,0.746993,0.889445,0.983382,65536,0,float32,64,128,160,1721.943307,1721.174262,191571.057074,0.983382,31833.584209,0.769045,20000,2321096,628.2673
