dataset,parts,implementation,dtype,rows,queries,graph_degree,intermediate_graph_degree,itopk,oracle_partition_build_ms_excluded,merge_api_e2e_ms,search_ms,recall,qps
OpenAI-2M,16,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,40387.951657,8777.607078,614.566687,0.956054,32543.254334
OpenAI-2M,16,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,40002.336911,18427.959603,608.953806,0.961533,32843.213726
OpenAI-2M,32,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,63217.290212,8743.260223,614.082804,0.953300,32568.897663
OpenAI-2M,32,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,63139.120592,18368.962805,608.023599,0.961250,32893.460111
OpenAI-2M,64,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,107400.690182,8678.790510,614.541211,0.950937,32544.603424
OpenAI-2M,64,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,106577.483656,18303.151771,607.295918,0.960617,32932.874085
OpenAI-2M,128,k4-scaffold-repeat16,float32,2321096,20000,64,128,160,197438.349804,8599.177648,613.803686,0.948258,32583.707880
OpenAI-2M,128,k4-scaffold-repeat32,float32,2321096,20000,64,128,160,195130.706232,18242.498309,607.271867,0.960129,32934.178392
YFCC-10M,2,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,22625.387301,6989.033471,293.972063,0.987155,340168.378517
YFCC-10M,2,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,22071.539864,18170.080702,292.468892,0.986254,341916.705453
YFCC-10M,4,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,21210.377386,7036.470416,291.623166,0.985863,342908.285962
YFCC-10M,4,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,21534.921511,18204.472632,291.475005,0.986638,343082.591250
YFCC-10M,8,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,21906.226258,7053.055418,291.935689,0.984073,342541.195777
YFCC-10M,8,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,21798.489633,18054.961583,292.641974,0.986294,341714.480097
YFCC-10M,16,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,24304.002978,7045.244281,290.266316,0.982533,344511.210870
YFCC-10M,16,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,24509.854520,18220.947872,290.273197,0.986328,344503.044144
YFCC-10M,32,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,30459.245291,7011.561635,290.896641,0.980832,343764.711948
YFCC-10M,32,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,30508.969097,18163.978787,289.821624,0.986040,345039.816629
YFCC-10M,64,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,39584.922054,6972.286440,289.435342,0.979677,345500.308667
YFCC-10M,64,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,39455.006177,18093.564206,288.530735,0.986012,346583.527748
YFCC-10M,128,k4-scaffold-repeat16,uint8,10000000,100000,64,128,160,53593.447063,7008.339836,289.804864,0.978945,345059.770977
YFCC-10M,128,k4-scaffold-repeat32,uint8,10000000,100000,64,128,160,53767.584160,18135.670089,288.253372,0.986153,346917.017158
